Argentina,Austria,Belgium,Bolivia,Brazil,Canada,Chile,France,Germany,Japan,Mexico,Netherlands
123,652,725,388,177,4229,2,1282,1071,33,979,55
121,719,832,368,154,5303,1,634,1287,47,1025,121
109,862,729,344,137,7531,1,457,1214,72,1242,159
103,824,265,342,148,7014,1,275,950,101,1346,177
100,898,159,319,155,4950,1,154,1124,118,1264,102
98,880,119,311,153,3649,1,71,1291,171,1108,58
98,800,68,322,154,2866,1,44,1190,279,1026,28
98,973,93,343,152,2230,1,29,1135,452,977,20
102,998,78,348,145,2155,1,30,1190,695,976,20
102,1016,80,336,146,1699,1,32,1196,708,932,20
102,854,65,321,187,1649,2,22,1145,537,939,19
102,824,64,330,185,1700,1,23,1194,337,913,19
114,738,44,329,206,1580,1,31,1308,182,974,18
121,726,61,314,228,1427,1,16,1257,91,944,18
108,653,109,370,244,1409,1,18,1280,56,1040,17
107,600,70,421,213,1404,4,14,1047,29,1028,16
119,628,61,450,243,1424,3,15,938,20,1021,15
123,636,43,446,240,1111,2,15,771,13,880,12
125,569,21,415,239,1178,3,9,739,10,871,12
134,550,24,451,243,1425,5,11,695,8,908,14
134,531,32,430,251,1163,4,7,712,7,838,15
226,531,29,464,272,1043,5,8,542,5,828,16
199,417,34,449,275,786,10,11,563,5,799,14
198,476,42,532,293,895,17,9,558,4,790,16
239,425,33,587,309,684,27,5,556,3,852,16
240,454,38,583,353,743,44,7,606,3,733,13
265,441,41,563,346,1041,57,8,544,2,707,12
283,487,28,499,319,792,35,6,429,2,650,12
273,485,19,459,336,819,22,4,471,2,668,11
273,482,16,438,360,755,15,4,470,2,669,11
271,455,10,405,316,711,10,4,425,2,603,11
254,540,11,383,287,752,9,5,448,2,677,12
238,459,19,365,257,663,14,5,485,2,624,11
204,445,13,349,249,699,4,5,423,2,634,13
217,512,9,397,282,528,2,4,439,2,649,11
178,438,10,394,274,631,1,4,347,1,618,11
189,455,8,442,263,651,2,9,318,1,613,10
196,471,11,418,304,810,2,7,364,1,558,13
199,450,11,409,298,671,3,8,396,1,556,14
230,408,11,481,273,755,3,6,406,1,661,13
208,443,26,605,285,1014,3,10,436,1,771,17
216,482,34,563,267,1042,3,13,497,2,810,19
187,587,54,512,293,1407,2,33,681,2,884,24
198,702,75,461,261,1656,2,40,858,3,874,30
184,732,81,478,249,1544,1,51,1030,3,906,29
153,652,95,459,247,1675,2,55,1327,4,885,25
184,707,63,409,281,1924,2,51,1253,7,946,26
194,664,53,413,250,2014,2,40,1011,14,933,20
167,660,49,393,249,2207,3,52,944,20,1079,19
161,737,63,428,259,2245,2,36,1118,30,1044,20
174,808,67,433,262,2237,1,46,1162,31,1056,24
150,839,105,478,270,2156,2,62,1048,36,1141,32
131,793,120,459,204,2345,2,76,1028,35,1190,31
111,742,116,407,188,2457,2,95,1056,41,1185,34
100,810,137,389,172,2722,2,100,1133,49,1237,36
89,807,144,355,168,3099,2,185,1132,43,1364,33
77,848,169,314,164,3586,1,171,1288,42,1409,34
78,769,203,294,170,3761,1,144,1253,42,1330,34
82,839,201,281,174,3120,1,149,1104,46,1206,37
88,895,168,273,157,3123,1,232,1032,78,1216,37
89,1106,191,272,163,3276,1,396,1124,178,1187,43
94,1643,233,275,160,3392,3,623,1417,417,1052,60
111,2200,379,263,204,3526,2,1132,2005,856,1092,95
98,2396,492,255,197,3274,2,685,2469,1202,1139,119
94,2143,429,269,191,3658,2,317,2443,1526,1120,140
101,1492,419,282,204,3527,2,179,2025,1451,1177,108
97,1246,413,355,213,2927,1,134,1799,1164,1118,94
106,1052,330,378,204,2786,3,90,1406,737,1091,87
137,840,164,363,232,2438,2,67,988,413,1131,61
145,623,72,412,263,2370,4,45,774,207,1066,36
154,629,55,509,259,2036,3,34,646,111,981,29
162,552,57,441,300,1715,3,30,607,55,945,24
192,578,59,396,276,1509,5,25,657,38,894,23
189,619,59,430,286,1509,3,20,651,30,858,23
183,506,64,401,310,1451,4,10,596,17,900,18
199,589,67,358,320,1524,3,10,711,9,854,21
193,579,84,373,355,1262,6,10,671,6,832,16
205,420,65,421,330,1182,9,9,570,5,882,18
198,518,50,427,350,1110,9,9,522,5,843,14
196,519,47,401,324,878,18,11,529,4,740,15
197,479,42,428,288,777,27,11,486,3,710,15
246,503,26,503,333,944,22,8,415,3,713,15
264,462,25,559,289,748,14,7,399,2,654,12
273,414,12,433,277,892,11,7,400,2,727,14
234,512,21,350,259,812,7,6,407,2,690,13
237,485,24,307,259,639,8,9,442,2,748,14
227,462,18,346,245,732,4,10,396,2,664,14
