Date,Argentina
12/29/2002,
1/5/2003,
1/12/2003,
1/19/2003,
1/26/2003,
2/2/2003,136
2/9/2003,145
2/16/2003,141
2/23/2003,135
3/2/2003,134
3/9/2003,136
3/16/2003,134
3/23/2003,153
3/30/2003,158
4/6/2003,187
4/13/2003,193
4/20/2003,186
4/27/2003,209
5/4/2003,239
5/11/2003,241
5/18/2003,232
5/25/2003,251
6/1/2003,253
6/8/2003,261
6/15/2003,258
6/22/2003,278
6/29/2003,348
7/6/2003,325
7/13/2003,307
7/20/2003,239
7/27/2003,229
8/3/2003,235
8/10/2003,225
8/17/2003,201
8/24/2003,192
8/31/2003,224
9/7/2003,210
9/14/2003,204
9/21/2003,213
9/28/2003,217
10/5/2003,205
10/12/2003,174
10/19/2003,178
10/26/2003,178
11/2/2003,184
11/9/2003,166
11/16/2003,149
11/23/2003,133
11/30/2003,123
12/7/2003,121
12/14/2003,109
12/21/2003,103
12/28/2003,100
1/4/2004,98
1/11/2004,98
1/18/2004,98
1/25/2004,102
2/1/2004,102
2/8/2004,102
2/15/2004,102
2/22/2004,114
2/29/2004,121
3/7/2004,108
3/14/2004,107
3/21/2004,119
3/28/2004,123
4/4/2004,125
4/11/2004,134
4/18/2004,134
4/25/2004,226
5/2/2004,199
5/9/2004,198
5/16/2004,239
5/23/2004,240
5/30/2004,265
6/6/2004,283
6/13/2004,273
6/20/2004,273
6/27/2004,271
7/4/2004,254
7/11/2004,238
7/18/2004,204
7/25/2004,217
8/1/2004,178
8/8/2004,189
8/15/2004,196
8/22/2004,199
8/29/2004,230
9/5/2004,208
9/12/2004,216
9/19/2004,187
9/26/2004,198
10/3/2004,184
10/10/2004,153
10/17/2004,184
10/24/2004,194
10/31/2004,167
11/7/2004,161
11/14/2004,174
11/21/2004,150
11/28/2004,131
12/5/2004,111
12/12/2004,100
12/19/2004,89
12/26/2004,77
1/2/2005,78
1/9/2005,82
1/16/2005,88
1/23/2005,89
1/30/2005,94
2/6/2005,111
